9.58,329.60,163.95
9.41,330.22,163.84
8.28,330.32,165.68
8.95,329.99,164.76
8.96,330.00,164.72
8.15,329.96,166.09
8.47,329.71,165.70
8.85,329.65,165.11
8.57,330.23,165.25
8.29,330.52,165.54
9.59,329.82,163.80
9.52,328.66,164.60
10.82,329.02,162.34
9.13,328.89,165.08
9.94,328.23,164.20
9.63,327.55,165.06
11.10,328.52,162.23
11.52,328.24,161.78
10.88,328.30,162.71
9.48,329.49,164.18
10.34,329.67,162.68
11.17,328.83,161.93
12.62,329.75,158.99
9.43,329.64,164.17
8.94,328.91,165.38
11.17,329.04,161.78
9.54,328.81,164.48
9.47,328.50,164.77
10.95,328.94,162.19
10.55,328.70,162.97
10.73,328.64,162.73
11.24,329.29,161.50
10.23,328.67,163.48
10.87,329.10,162.22
10.41,328.60,163.25
10.50,329.06,162.83
10.99,329.07,162.03
10.59,328.92,162.77
10.20,329.04,163.30
10.61,328.21,163.18
11.21,328.89,161.82
11.49,329.77,160.77
10.37,329.20,162.94
10.70,329.17,162.43
9.50,328.44,164.77
10.56,329.98,162.12
10.82,330.58,161.28
8.33,328.63,166.50
10.27,329.14,163.13
9.49,329.28,164.28
9.37,329.03,164.62
10.48,330.83,161.67
9.79,330.50,163.05
9.93,329.89,163.21
10.50,329.18,162.74
8.92,329.52,165.08
7.11,329.19,168.18
7.26,328.52,168.25
8.06,328.81,166.84
8.08,329.74,166.33
7.17,329.40,168.00
6.72,329.80,168.55
9.30,330.59,163.80
7.15,330.83,167.34
6.13,329.61,169.62
7.02,329.94,167.99
8.17,330.32,165.85
7.65,329.81,167.01
6.44,329.32,169.22
7.60,328.91,167.53
8.71,328.93,165.74
8.51,329.26,165.87
7.98,329.73,166.49
8.46,330.28,165.39
7.34,330.39,167.23
7.13,330.71,167.43
7.04,330.47,167.71
5.81,329.61,170.16
7.59,329.66,167.18
8.75,329.54,165.34
8.54,329.39,165.76
8.38,329.23,166.11
8.52,329.07,165.96
8.02,329.13,166.74
8.35,329.24,166.14
8.08,329.29,166.56
8.03,329.46,166.56
8.66,329.81,165.33
8.93,329.87,164.84
8.48,330.40,165.29
8.59,329.57,165.57
7.85,329.23,166.97
8.20,329.38,166.33
8.82,329.43,165.28
8.09,330.10,166.12
8.27,329.06,166.37
7.99,330.01,166.32
7.36,330.48,167.15
7.79,330.04,166.65
